deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
85,118.57,quanshuilongpanjinquan,12,2016-07,7169,18,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630616,39.008194",ganjingzi,1,龙畔金泉五期K1区,121.63061599999999,39.008194
106,132.56,quanshuilongpanjinquan,12,2016-07,7997,6,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
103,129.95,quanshuilongpanjinquan,16,2016-07,7927,5,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.624479,39.005261",ganjingzi,0,龙畔金泉三期,121.62447900000001,39.005261
107,122.92,quanshuilongpanjinquan,15,2016-08,8665,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
92,123.77,quanshuilongpanjinquan,12,2016-03,7393,6,毛坯,南 北,普通住宅,3室2厅1厨1卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
84,118.0,quanshuilongpanjinquan,12,2016-03,7119,18,精装,南 北,普通住宅,3室2厅1厨1卫,0,"121.630655,39.014086",ganjingzi,1,龙畔金泉五期K3区,121.630655,39.014086
83,117.73,quanshuilongpanjinquan,12,2018-122017-02,7051,19,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630655,39.014086",ganjingzi,1,龙畔金泉五期K3区,121.630655,39.014086
83,117.73,quanshuilongpanjinquan,12,2016-03,7017,18,毛坯,南 北,普通住宅,2室2厅1厨1卫,0,"121.630061,39.011831",ganjingzi,1,龙畔金泉五期K2区,121.63006100000001,39.011831
95,106.73,quanshuilongpanjinquan,12,2016-04,8901,12,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.630655,39.014086",ganjingzi,1,龙畔金泉五期K3区,121.630655,39.014086
102,132.0,quanshuilongpanjinquan,12,2016-05,7728,6,简装,南 北,普通住宅,3室2厅1厨1卫,0,"121.630655,39.014086",ganjingzi,0,龙畔金泉五期K3区,121.630655,39.014086
90,101.31,nanmian,8,2019-11,8795,32,精装,南 北,普通住宅,3室2厅1厨1卫,2,"121.7092,39.099818",ganjingzi,1,瀛海金洲,121.7092,39.099818
94,121.27,nanmian,9,2019-05,7711,34,毛坯,南 北,普通住宅,3室2厅1厨2卫,0,"121.7092,39.099818",ganjingzi,1,瀛海金洲,121.7092,39.099818
107,140.25,nanmian,8,2019-07,7594,19,毛坯,南 北,普通住宅,3室2厅1厨1卫,0,"121.7092,39.099818",ganjingzi,1,瀛海金洲,121.7092,39.099818
106,88.04,quanshuilongpanjinquan,16,2018-04,12040,6,简装,南 北,普通住宅,2室2厅1厨1卫,0,"121.624479,39.005261",ganjingzi,0,龙畔金泉三期,121.62447900000001,39.005261
145,92.42,quanshuilongpanjinquan,4,2018-05,15657,9,毛坯,南 北,普通住宅,2室2厅1厨1卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
132,116.25,quanshuilongpanjinquan,12,2018-10,11338,18,其他,南 西 北,普通住宅,3室2厅1厨1卫,0,"121.630616,39.008194",ganjingzi,1,龙畔金泉五期K1区,121.63061599999999,39.008194
120,99.38,quanshuilongpanjinquan,11,2019-02,12075,13,简装,南 北,普通住宅,2室2厅1厨1卫,0,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
102,93.56,quanshuilongpanjinquan,12,2019-03,10903,16,简装,南 北,普通住宅,3室2厅1厨1卫,0,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
128,87.6,quanshuilongpanjinquan,9,2019-04,14612,11,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.64312340565,39.019028609159",ganjingzi,1,半岛泉水欣座,121.64312340565,39.019028609159
146,91.52,quanshuilongpanjinquan,12,2019-05,15953,6,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
97,82.27,quanshuilongpanjinquan,12,2019-07,11730,10,简装,南 北,普通住宅,2室1厅1厨1卫,0,"121.644185,39.021147",ganjingzi,1,泉水N2区,121.64418500000001,39.021147
130,90.87,quanshuilongpanjinquan,11,2019-08,14307,6,精装,南 北,普通住宅,2室1厅1厨1卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
97,87.0,huarunhaizhongguo,10,2017-10,11150,34,精装,南,普通住宅,2室1厅1厨1卫,0,"121.764858,39.04089",kaifaqudl,1,华润海中国二期,121.764858,39.040890000000005
97,87.0,huale,21,2015-12,11150,5,精装,南 北,普通住宅,2室1厅1厨1卫,0,"121.687159,38.920013",zhongshan,0,海景园,121.68715900000001,38.920013
97,87.0,huanan,12,2016-01,11150,5,毛坯,南 北,普通住宅,2室2厅1厨1卫,0,"121.583483,38.998697",ganjingzi,0,加州洋房,121.583483,38.998697
97,87.0,quanshuilongpanjinquan,4,2019-11,11150,28,毛坯,南 北,普通住宅,2室1厅1厨1卫,0,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
97,87.0,diecui,10,2017-02,11092,19,精装,南 北,普通住宅,2室1厅1厨1卫,0,"121.549221,38.925182",ganjingzi,1,锦绣暖山,121.549221,38.925182
102,77.75,quanshuilongpanjinquan,13,2019-11,13055,6,精装,东 南 北,普通住宅,2室1厅1厨1卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
108,86.77,shengtaixincheng,10,2018-02,12390,10,精装,南 北,普通住宅,3室2厅1厨1卫,0,"121.49935,38.980091",ganjingzi,1,艾维尼小城,121.49935,38.980090999999994
108,86.77,quanshuilongpanjinquan,8,2019-11,12424,28,毛坯,北,普通住宅,2室2厅1厨1卫,0,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
110,90.56,quanshuilongpanjinquan,8,2019-11,12147,24,精装,南,普通住宅,2室1厅1厨1卫,0,"121.630061,39.011831",ganjingzi,1,龙畔金泉五期K2区,121.63006100000001,39.011831
107,72.78,quanshuilongpanjinquan,12,2019-11,14634,5,精装,南 北,普通住宅,2室1厅1厨1卫,5,"121.630655,39.014086",ganjingzi,0,龙畔金泉五期K3区,121.630655,39.014086
116,88.8,quanshuilongpanjinquan,12,2019-11,13064,6,精装,南 北,普通住宅,2室1厅1厨1卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
96,90.31,hualu,10,2016-09,10559,11,简装,北 南,普通住宅,2室1厅1厨1卫,0,"121.522756,38.854053",gaoxinyuanqu,1,山海一家三期,121.522756,38.854053
96,90.31,quanshuilongpanjinquan,11,2019-11,10631,28,简装,南 西 北,普通住宅,2室1厅1厨1卫,0,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
120,89.98,quanshuilongpanjinquan,10,2019-11,13337,18,精装,东 南 北,普通住宅,3室2厅1厨1卫,0,"121.64312340565,39.019028609159",ganjingzi,1,半岛泉水欣座,121.64312340565,39.019028609159
120,89.98,quanshuilongpanjinquan,8,2018-07,13337,18,精装,东 南 北,普通住宅,2室2厅1厨1卫,0,"121.64312340565,39.019028609159",ganjingzi,1,半岛泉水欣座,121.64312340565,39.019028609159
142,135.69,quanshuilongpanjinquan,15,2019-11,10466,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
145,106.68,zhongnan,20,2018-08,13593,5,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.684731,38.894413",zhongshan,0,阳光花园二期,121.684731,38.894413
145,106.68,quanshuilongpanjinquan,14,2019-10,13593,6,精装,南 北 西,普通住宅,3室2厅1厨1卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
174,117.46,quanshuilongpanjinquan,4,2019-10,14771,33,精装,南 北 东,普通住宅,3室2厅1厨1卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
107,85.48,quanshuilongpanjinquan,7,2019-10,12436,28,毛坯,南 北,普通住宅,2室2厅1厨1卫,0,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
